code,as_of,maintenance,initial,source,note
6E,2020-06-30,2275.0,,CME export EC-2020-to-present.pdf,
6E,2020-08-28,2500.0,,CME export EC-2020-to-present.pdf,
6E,2020-10-09,2900.0,,CME export EC-2020-to-present.pdf,
6E,2020-11-13,2600.0,,CME export EC-2020-to-present.pdf,
6E,2020-12-01,2300.0,,CME export EC-2020-to-present.pdf,
6E,2021-01-14,2000.0,,CME export EC-2020-to-present.pdf,
6E,2021-04-16,2200.0,,CME export EC-2020-to-present.pdf,
6E,2022-02-25,2400.0,,CME export EC-2020-to-present.pdf,
6E,2022-07-15,2650.0,,CME export EC-2020-to-present.pdf,
6E,2023-06-16,2400.0,,CME export EC-2020-to-present.pdf,
6E,2023-11-03,2100.0,,CME export EC-2020-to-present.pdf,
6E,2024-10-04,2400.0,,CME export EC-2020-to-present.pdf,
6E,2024-10-18,2800.0,,CME export EC-2020-to-present.pdf,
6E,2024-11-14,2300.0,,CME export EC-2020-to-present.pdf,
6E,2025-02-07,2600.0,,CME export EC-2020-to-present.pdf,
6E,2025-04-04,2900.0,,CME export EC-2020-to-present.pdf,
6E,2025-04-11,3400.0,,CME export EC-2020-to-present.pdf,
6E,2025-08-08,2900.0,,CME export EC-2020-to-present.pdf,
6E,2025-10-03,2700.0,,CME export EC-2020-to-present.pdf,
6E,2026-05-01,2400.0,,CME export EC-2020-to-present.pdf,
